name,location,latitude,longitude
"安養院","栃木県佐野市葛生東1-5-6","36.398964","139.608963"
"安養院","栃木県大田原市亀久1239","36.813839","140.154861"
"安養院","栃木県栃木市大平町下皆川421","36.35239","139.704712"
"安養院","栃木県日光市山内2297-2","36.75375","139.601196"
"安養院","福島県いわき市遠野町滝字西ノ内43","36.98103","140.7397"
"安養院","福島県いわき市小名浜字下明神町51","36.95079","140.9086"
"安養院","福島県いわき市平藤間字中之内74","37.041775","140.958862"
"安養寺","〒515-0312 三重県多気郡明和町上野６５２","",""
"安養寺","〒707-0041 岡山県美作市林野48","35.003222222","134.151222222"
"安養寺","〒709-0413 岡山県和気郡和気町泉６０９","34.808666666","134.161666666"
"安養寺","29, Narukawa-chō, Nara-shi, Nara-ken 630-8335","34.67591","135.82887"
"安養寺","愛知県刈谷市熊野町6丁目25","34.994194444","136.987"
"安養寺","愛知県半田市板山町10丁目5番地","34.891944444","136.887638888"
"安養寺","茨城県つくば市金田149番地","36.099991","140.141422"
"安養寺","茨城県常総市豊岡町乙1569番地1","36.030651","139.981354"
"安養寺","岡山県倉敷市浅原1573","34.635972222","133.758972222"
"安養寺","岐阜県郡上市八幡町柳町217","35.752472222","136.958166666"
"安養寺","岐阜県多治見市白山町2-44","35.338138888","137.121"
"安養寺","京都府京都市中京区新京極通蛸薬師下ル東側町511","35.005833333","135.767333333"
"安養寺","京都府京都市東山区八坂鳥居前東入円山町624","35.003805555","135.784472222"
"安養寺","群馬県甘楽郡南牧村大字大日向甲278","36.160191","138.712891"
"安養寺","群馬県桐生市新里町新川2422","36.421383","139.252563"
"安養寺","群馬県沼田市石墨町367","36.684574","139.044861"
"安養寺","香川県さぬき市造田是弘1804","34.2868","134.184906"
"安養寺","香川県丸亀市手島町1269-1","34.397011","133.669601"
"安養寺","香川県高松市古馬場町10-1","34.342228","134.052765"
"安養寺","香川県坂出市川津町4121","34.290638","133.8629"
"安養寺","香川県三豊市詫間町積322","34.246384","133.605499"
"安養寺","香川県小豆郡小豆島町西村甲795","34.472862","134.273773"
"安養寺","香川県木田郡三木町大字池戸字上池2891-4","34.293846","134.129028"
"安養寺","埼玉県比企郡吉見町江和井305","36.021523","139.496002"
"安養寺","埼玉県比企郡嵐山町大蔵299","36.026787","139.329666"
"安養寺","滋賀県大津市石山南郷町奥山1231","34.917777777","135.91"
"安養寺","鹿児島県鹿屋市向江町16-12","31.382587","130.84993"
"安養寺","新潟県岩船郡関川村大字上関557","38.082027","139.574524"
"安養寺","新潟県五泉市猿和田328","37.733723","139.229141"
"安養寺","新潟県五泉市村松甲5792","37.684532","139.172745"
"安養寺","新潟県佐渡市安養寺104","38.060425","138.382568"
"安養寺","新潟県佐渡市相川大浦788","38.010452","138.231888"
"安養寺","新潟県上越市柿崎区下小野1801","37.25684","138.411942"
"安養寺","新潟県上越市東本町3-4-72","37.120464","138.25383"
"安養寺","新潟県新潟市西蒲区巻甲661-甲","37.768574","138.880676"
"安養寺","新潟県長岡市山田1-4-30","37.444595","138.84079"
